off_caller,tier,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_era_shrunk,rank_open,n_in_tier_contested,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,n_in_tier_comp
Drew Petzing,TE,400,16.25,3.0385967451052966,-0.5767101229212619,6.653903613131855,1.9608878887811618,33,36,400,74.74999999999997,70.32777660340071,4.422223396599305,0.4778450040469564,8.366601789151654,9,36
Greg Roman,TE,242,13.223140495867769,-0.247148707605108,-4.515082354867513,4.020784939657297,-0.13995321105921962,15,36,242,70.24793388429751,66.87939190421221,3.3685419800852947,-2.051020062690323,8.788104022860912,13,36
Joe Brady,TE,162,10.493827160493828,-2.693803716060744,-7.413260475432794,2.025653043311306,-1.3910146858145651,10,36,162,66.0493827160494,68.29145377800788,-2.2420710619585003,-8.973623059313036,4.4894809353960365,30,36
Josh McDaniels,TE,155,17.419354838709676,3.9371628936102123,-2.0338140061208483,9.908139793341274,1.575391984958576,30,36,155,66.45161290322581,65.44279767620948,1.0088152270163275,-6.012273551392753,8.029904005425408,19,36
Kellen Moore,TE,280,16.071428571428573,2.634723379154355,-1.6671657407556406,6.936612499064351,1.48170157140693,29,36,280,71.78571428571429,68.39529141783714,3.390422867877141,-1.6166607812123193,8.397506516966601,12,36
Ken Dorsey,TE,184,10.326086956521738,-3.1324642811370786,-7.52937967994178,1.2644511176676225,-1.7278436994708448,8,36,184,74.45652173913044,69.92670901767586,4.529812721454577,-1.3982500876844428,10.457875530593597,8,36
Kevin O'Connell,TE,337,16.320474777448073,2.8513267559003808,-1.094310166405604,6.796963678206366,1.723246499795213,31,36,337,72.40356083086054,69.16253716195726,3.2410236689032783,-1.2551895537653883,7.7372368915719445,14,36
Kevin Stefanski,TE,278,15.107913669064748,1.5742495763980813,-2.6356285570423266,5.784127709838489,0.9020235882583565,21,36,278,69.42446043165468,71.21736157497914,-1.7929011433244626,-6.845374782907653,3.2595724962587274,28,36
Kliff Kingsbury,TE,223,15.246636771300448,1.9212179003129677,-2.7969037826882124,6.639339583314148,0.9923416601498073,24,36,223,70.4035874439462,66.28343293886013,4.120154505086055,-1.5307721234566154,9.771081133628726,10,36
Klint Kubiak,TE,161,9.937888198757763,-3.322441996485198,-7.943711002871969,1.298827009901573,-1.75048769397607,7,36,161,72.04968944099379,68.97973999473619,3.0699494462575925,-3.5240854348904462,9.66398432740563,16,36
Kyle Shanahan,TE,336,12.797619047619047,-0.60990946001656,-4.18194024588406,2.96212132585094,-0.39694118808663165,13,36,336,76.48809523809523,67.69525317386503,8.792842064230218,4.257344245704834,13.328339882755602,2,36
Liam Coen,TE,144,13.194444444444445,0.11911355333512219,-5.408582313512555,5.646809420182799,0.05213228300900707,18,36,144,70.83333333333333,71.52242232114077,-0.6890889878074343,-8.221513102601643,6.843335126986774,25,36
Luke Getsy,TE,221,10.85972850678733,-2.614282420780988,-6.71638385156004,1.4878190099980637,-1.5309932222449891,9,36,221,76.92307692307693,70.96873857586633,5.954338347210602,0.5981437248576089,11.310532969563596,5,36
